what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1326929286532
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1326929286533
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1326929286533
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1326929286534
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1326929286536
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1326929286536
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1326929286537
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1326929286538
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1326929286538
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1326929286539
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1326929286540
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1326929286540
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1326929286541
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1326929286541
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1326929286542
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1326929286543
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1326929286543
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1326929286544
os,sysinfo,,,"linux",1326929286548
arch,sysinfo,,,"x86",1326929286548
ws,sysinfo,,,"gtk",1326929286548
locale,sysinfo,,,"en_US",1326929286548
processors,sysinfo,,,"2",1326929286548
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326929286548
java.runtime.version,sysinfo,,,"1.7.0-b147",1326929286548
java.specification.name,sysinfo,,,"Java Platform API Specification",1326929286548
java.specification.vendor,sysinfo,,,"Oracle Corporation",1326929286548
java.specification.version,sysinfo,,,"1.7",1326929286548
java.vendor,sysinfo,,,"Oracle Corporation",1326929286548
java.version,sysinfo,,,"1.7.0",1326929286548
java.vm.info,sysinfo,,,"mixed mode, sharing",1326929286548
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326929286548
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326929286548
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1326929286548
java.vm.specification.version,sysinfo,,,"1.7",1326929286548
java.vm.vendor,sysinfo,,,"Oracle Corporation",1326929286548
java.vm.version,sysinfo,,,"21.0-b17",1326929286548
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1326929290217
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1326929291229
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1326929291418
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326929291512
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326929291660
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1326929292498
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1326929292642
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326929295883
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1326929296312
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326929329942
